title,price,rating,review_count,url,asin,Manufacturer,description
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm ","₹1,399",4.1 out of 5 stars,"(6,819)",https://amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC,B08HM33576,Panda Exim," # Description #  Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business Updated Women Handbags: High-quality PU leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock & wear-resistant tests, good purses and handbags for women Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women's shoulder bag or hobo crossbody bag "
ADISA women girls embroided sling bag ,₹495,4.2 out of 5 stars,"(1,412)",https://amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2, , , 
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,₹565,4.3 out of 5 stars,"(9,242)",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF, B084JGJ8PF ," Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ", 
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather ",₹938,3.9 out of 5 stars,(712),https://amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,B07QN4KXWG,AirCase, 
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,₹849,3.9 out of 5 stars,"(2,133)",https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,B09VCLZ3K4,Amazing Bags," This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover. "
Skybags Brat Black 46 Cms Casual Backpack ,₹669,4.1 out of 5 stars,"(3,387)",https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,B08Z1HHHTD,VIP Industries Ltd," Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack "
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,₹499,3.9 out of 5 stars,(463),https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,B09TPX22NF,ADISA, 
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,"₹1,199",4.0 out of 5 stars,"(51,405)",https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M, B07CJCGM1M , Samsonite , 
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,"₹1,199",4.0 out of 5 stars,"(51,405)",https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M, B07CJCGM1M , Samsonite , 
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping ",₹699,3.9 out of 5 stars,"(2,195)",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W,B09B29F66W,Safari Industries, 
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,₹565,4.3 out of 5 stars,"(9,242)",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF, B084JGJ8PF ," Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ", 
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black ",₹565,4.3 out of 5 stars,"(9,242)",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV, B085S444JV ," Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ", 
DEIN KLEIDER Men's Nylon Messenger Bag ,₹349,4.0 out of 5 stars,"(4,404)",https://amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,DK01CSP-HYP,B084ZHP97M," Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage. "
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm ","₹1,399",4.1 out of 5 stars,"(6,819)",https://amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC, , , 
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,₹849,3.9 out of 5 stars,"(2,133)",https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4, , , 
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant) ",₹299,4.1 out of 5 stars,"(7,655)",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7, B088XH1BP7 ," Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103 ", 
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK) ",₹899,3.9 out of 5 stars,(676),https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,B09B25Z8M2,Safari Industries," Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. "
ADISA Laptop Backpack 31 Ltrs ,₹499,4.0 out of 5 stars,"(8,993)",https://amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,B07G3CG9FC,ADISA, 
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",₹329,4.1 out of 5 stars,"(7,655)",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8, B088XB5XY8 ," Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103 ", 
